   2.600000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.610000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.620000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.630000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.640000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.650000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.660000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.670000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.680000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.690000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.700000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.710000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.720000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.730000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.740000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.750000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.760000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.770000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.780000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.790000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.800000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.810000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.820000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.830000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.840000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.850000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.860000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.870000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.880000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.890000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.900000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.910000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.920000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.930000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.940000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.950000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.960000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.970000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.980000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.990000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
